ANZLIC_ID|COLUMN_NAME|OBLIGATION|IS_UNIQUE|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|REFTAB_OWNER_NAME|REFTAB_TABLE_NAME|REFTAB_CODE_COLUMN_NAME|COMMENTS
ANZVI0803000061|SEGMENTNAME|O|N|VARCHAR2|200||||||
ANZVI0803000062|ELECTRIFIED|O|N|VARCHAR2|200||||||
ANZVI0803000062|FACILITYNAME|O|N|VARCHAR2|200||||||
ANZVI0803000062|GAUGE|O|N|VARCHAR2|200||||||
ANZVI0803000063|FACILITYNAME|O|N|VARCHAR2|75||||||
ANZVI0803000064|PLATFORMNBR|O|N|VARCHAR2|200||||||
ANZVI0803000064|STATIONNAME|O|N|VARCHAR2|200||||||
ANZVI0803000320|COMMUTER_CAPACITY|O|N|VARCHAR2|200||||||
ANZVI0803000320|STATION_NAME|O|N|VARCHAR2|200||||||
ANZVI0803000321|CAPACITY|O|N|VARCHAR2|200||||||
ANZVI0803000321|STATION_NAME|O|N|VARCHAR2|200||||||
ANZVI0803000321|TYPE|O|N|VARCHAR2|200||||||
ANZVI0803001005|CNR|O|N|NUMBER|22|10|0||||
ANZVI0803001005|CNR500_|O|N|NUMBER|22|15|4||||
ANZVI0803001005|CNR500_ID|O|N|NUMBER|22|15|4||||
ANZVI0803001005|CROWNLAND_|O|N|NUMBER|22|19|8||||
ANZVI0803001005|NAME|O|N|VARCHAR2|30||||||
ANZVI0803001005|POLY_|O|N|NUMBER|22|10|0||||
ANZVI0803001005|RINGS_NOK|O|N|NUMBER|22|10|0||||
ANZVI0803001005|RINGS_OK|O|N|NUMBER|22|10|0||||
ANZVI0803001005|SOURCEA|O|N|NUMBER|22|10|0||||
ANZVI0803001005|SOURCED|O|N|NUMBER|22|10|0||||
ANZVI0803001005|SUBCLASS|O|N|VARCHAR2|13||||||
ANZVI0803001005|SUBCLASS_|O|N|NUMBER|22|10|0||||
ANZVI0803001005|VERSION|O|N|NUMBER|22|10|0||||
ANZVI0803001008|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001008|FOREST_1869|O|N|VARCHAR2|1||||||
ANZVI0803001008|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001009|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001009|FOREST_72|O|N|VARCHAR2|1||||||
ANZVI0803001009|FOREST_87|O|N|VARCHAR2|1||||||
ANZVI0803001009|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001024|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001024|DESCRIPTION|O|N|VARCHAR2|40||||||
ANZVI0803001024|FIRE_PA|O|N|NUMBER|22|11|0||||
