PRODUCT_ANZLIC_ID|OBJECT_ANZLIC_ID
ANZVI0803002578|ANZVI0803003126
ANZVI0803002529|ANZVI0803002507
ANZVI0803002529|ANZVI0803002531
ANZVI0803002529|ANZVI0803002717
ANZVI0803002529|ANZVI0803002716
ANZVI0803002529|ANZVI0803002905
ANZVI0803002529|ANZVI0803003027
ANZVI0803002529|ANZVI0803003025
ANZVI0803002529|ANZVI0803003034
ANZVI0803002529|ANZVI0803004649
ANZVI0803002529|ANZVI0803004758
ANZVI0803002529|ANZVI0803004759
ANZVI0803002529|ANZVI0803004761
ANZVI0803002529|ANZVI0803004853
ANZVI0803002529|ANZVI0803004854
ANZVI0803002529|ANZVI0803005249
ANZVI0803002529|ANZVI0803005250
ANZVI0803002529|ANZVI0803005369
ANZVI0803002529|ANZVI0803005786
ANZVI0803002777|ANZVI0803002917
ANZVI0803002777|ANZVI0803002916
ANZVI0803002499|ANZVI0803002504
ANZVI0803002499|ANZVI0803002502
ANZVI0803002499|ANZVI0803002893
ANZVI0803002499|ANZVI0803002639
ANZVI0803002499|ANZVI0803002500
ANZVI0803002499|ANZVI0803002501
ANZVI0803002499|ANZVI0803002835
ANZVI0803002499|ANZVI0803002813
ANZVI0803002489|ANZVI0803002494
ANZVI0803002489|ANZVI0803002495
ANZVI0803002489|ANZVI0803002490
ANZVI0803002489|ANZVI0803002491
ANZVI0803002489|ANZVI0803002498
ANZVI0803002489|ANZVI0803002496
ANZVI0803002489|ANZVI0803002497
ANZVI0803002489|ANZVI0803002493
ANZVI0803002864|ANZVI0803002909
ANZVI0803002864|ANZVI0803002912
ANZVI0803002864|ANZVI0803002913
ANZVI0803002864|ANZVI0803002910
ANZVI0803002864|ANZVI0803002914
ANZVI0803002683|ANZVI0803001034
ANZVI0803002683|ANZVI0803002400
ANZVI0803002683|ANZVI0803003237
ANZVI0803002683|ANZVI0803003238
ANZVI0803002683|ANZVI0803002900
ANZVI0803002683|ANZVI0803002896
ANZVI0803002683|ANZVI0803002902
ANZVI0803002683|ANZVI0803002898
ANZVI0803002683|ANZVI0803003236
ANZVI0803002683|ANZVI0803002899
ANZVI0803002683|ANZVI0803004668
ANZVI0803002683|ANZVI0803005175
ANZVI0803003137|ANZVI0803003140
ANZVI0803003137|ANZVI0803003161
ANZVI0803003137|ANZVI0803003091
ANZVI0803003137|ANZVI0803003138
ANZVI0803003137|ANZVI0803003229
ANZVI0803003137|ANZVI0803002643
ANZVI0803003137|ANZVI0803003152
